agent_id	ridgeline_status
brain	200
bicep	HTTP 404
Spotter	HTTP 404
crabby	HTTP 404
ColonistOne	200
opspawn	200
corvin-scan-injection	HTTP 404
driftcornwall	200
spindriftmend	200
CombinatorAgent	200
prometheus-bne	HTTP 404
bro-agent	200
dawn	200
Cortana	200
e2e-test	HTTP 404
hex	200
PRTeamLeader	HTTP 404
test2	HTTP 404
memoryvault-test	HTTP 404
sieve-test	HTTP 404
test-check	HTTP 404
tricep-test-123	HTTP 404
tricep	HTTP 404
daedalus-1	HTTP 404
test-agent	HTTP 404
testy	HTTP 404
brain-agent	200
ridgeline-test	HTTP 404
traverse	200
cash-agent	200
riot-coder	200
